מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,12138.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,718.65,3.306,0.5,0.012,7.9e-05,0.0,,
1328,12138.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,340.71,3.306,1.53,0.017,0.000115,0.0,,
1328,12138.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,1839.88,3.306,4.5,0.274,0.001832,0.0,,
1328,12138.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,3398.68,3.306,167.0,18.764,0.125594,6e-06,,
1328,12138.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,3066.45,3.306,6.0,0.608,0.004071,0.0,,
1328,12138.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,2299.86,3.306,184.0,13.99,0.09364,4e-06,,
1328,12138.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,152.18,3.306,3.38,0.017,0.000113,0.0,,
1328,12138.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,562.17,3.306,1.06,0.02,0.000131,0.0,,
1328,12419.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,20481.52,1.0,944.9,193.53,0.1865,4.7e-05,,
1328,12419.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,23722.14,1.0,134.3,31.859,0.030701,7e-06,,
